,区/县,区域,小区,总价,单价,房屋户型,楼层,总面积,户型结构,套内面积,建筑类型,朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,s,交易权属,u,形式,是否满五,产权形式,是否有房本,小区均价,小区建成,style,总栋数,总楼层
1423,昌平,西关环岛,御路园,269.0,30543.9,2室2厅1卫,高楼层,88.07,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43658,已购公房,37483,普通住宅,满五年,非共有,已上传房本照片,31709,1992,板楼,28,6
1424,通州,北关,金地格林格林,365.0,40910.1,3室1厅1卫,低楼层,89.22,平层,68.75㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43810,商品房,43342,普通住宅,暂无数据,共有,已上传房本照片,41641,2013,板楼,17,18
1425,石景山,老山,老山东里,305.0,48925.2,2室1厅1卫,中楼层,62.34,平层,无信息,塔楼,南,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43795,商品房,41572,普通住宅,满五年,非共有,已上传房本照片,49573,1982,塔楼/板楼,53,16
1426,房山,良乡,龙华苑,236.0,20787.5,2室1厅1卫,高楼层,113.53,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43626,商品房,39015,普通住宅,满五年,非共有,已上传房本照片,27308,1985,板楼,45,6
1427,昌平,南邵,路劲世界城一期,270.0,41997.2,1室1厅1卫,中楼层,64.29,平层,50.09㎡,板楼,东,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43778,限价商品房,41941,普通住宅,满五年,共有,已上传房本照片,41718,2011,板楼,8,23
1428,昌平,沙河,民园小区,236.0,35763.0,2室1厅1卫,高楼层,65.99,平层,53.64㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43310,商品房,39562,普通住宅,满五年,非共有,已上传房本照片,35805,1987,板楼,18,6
1429,大兴,天宫院,保利首开熙悦春天,402.0,41857.6,4室1厅2卫,高楼层,96.04,平层,71.52㎡,板塔结合,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43751,商品房,43054,普通住宅,满两年,共有,已上传房本照片,39808,2014,板楼/塔板结合,10,24
1430,丰台,岳各庄,珠江峰景,555.0,48933.2,2室1厅1卫,低楼层,113.42,平层,92.72㎡,塔楼,西南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43736,商品房,42951,普通住宅,满两年,非共有,已上传房本照片,54145,2006,塔楼/板楼/塔板结合,27,21
1431,房山,良乡,佳世苑小区,280.0,21411.6,2室2厅1卫,中楼层,130.77,平层,116.94㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43423,商品房,39064,普通住宅,满五年,非共有,已上传房本照片,29114,2003,塔楼/板楼,26,5
1432,亦庄开发区,马驹桥,宏仁家园,218.0,24139.1,2室1厅1卫,高楼层,90.31,平层,70.09㎡,板楼,东西,钢混结构,简装,10列无数据,11列无数据,12列无数据,未知,43754,限价商品房,41891,普通住宅,满五年,非共有,已上传房本照片,26256,2012,板楼,7,28
1433,海淀,二里庄,石油大院,490.0,71324.6,2室1厅1卫,低楼层,68.7,平层,无信息,板楼,南北,混合结构,其他,10列无数据,40年,12列无数据,13列无数据,43699,央产房,36017,普通住宅,满五年,非共有,已上传房本照片,91178,1957,塔楼/板楼/塔板结合,66,6
1434,丰台,洋桥,海户西里32号院,419.0,58486.9,3室1厅1卫,中楼层,71.64,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43749,已购公房,40011,普通住宅,满五年,非共有,已上传房本照片,57321,1997,塔楼/板楼,3,6
1435,朝阳,大望路,珠江帝景,1285.0,79502.6,3室1厅2卫,中楼层,161.63,平层,133.34㎡,塔楼,南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43275,商品房,42089,普通住宅,满两年,非共有,已上传房本照片,82122,2004,塔楼/板楼/塔板结合,18,26
1436,东城,朝阳门外,新中西街,486.0,64929.9,3室1厅1卫,低楼层,74.85,平层,无信息,板楼,南北,混合结构,其他,10列无数据,70年,12列无数据,13列无数据,43737,已购公房,43735,普通住宅,暂无数据,共有,已上传房本照片,84040,1990,板楼,10,7
1437,朝阳,北苑,北苑五号院四区,300.0,59820.5,2室1厅1卫,低楼层,50.15,平层,37.62㎡,板楼,南北,混合结构,其他,10列无数据,11列无数据,70年,13列无数据,43688,商品房,42242,普通住宅,满两年,非共有,已上传房本照片,54005,1982,板楼/塔板结合,4,6
1438,昌平,回龙观,龙跃苑二区,529.0,38928.5,3室1厅2卫,低楼层,135.89,平层,124.22㎡,板楼,南北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43780,一类经济适用房,38121,普通住宅,满五年,非共有,已上传房本照片,40696,2003,板楼,28,6
1439,西城,宣武门,南柳巷,598.0,91788.2,2室1厅1卫,中楼层,65.15,平层,46㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43592,商品房,42458,普通住宅,满两年,非共有,已上传房本照片,89952,1965,板楼/平房,20,5
1440,通州,九棵树(家乐福),新翠景园,329.0,34012.2,2室1厅1卫,低楼层,96.73,平层,78.58㎡,板塔结合,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43747,商品房,38782,普通住宅,满五年,非共有,已上传房本照片,37502,2005,板楼/塔板结合,7,11
1441,昌平,南邵,北郡嘉源,238.0,39812.6,1室1厅1卫,中楼层,59.78,平层,无信息,板楼,南,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43797,限价商品房,41866,普通住宅,满五年,非共有,已上传房本照片,37161,2012,塔楼/板楼,11,11
1442,昌平,沙河,北街家园六区,348.0,45669.3,3室1厅1卫,高楼层,76.2,平层,65.97㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43747,商品房,41439,普通住宅,满五年,非共有,已上传房本照片,46035,2009,板楼,16,6
1443,朝阳,北苑,世华泊郡,525.0,61684.9,2室1厅1卫,高楼层,85.11,平层,68.24㎡,板塔结合,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43674,商品房,43580,普通住宅,暂无数据,非共有,已上传房本照片,69142,2012,板楼/塔板结合,16,27
1444,朝阳,奥林匹克公园,天畅园,669.0,39826.2,2室1厅2卫,低楼层,167.98,平层,130.35㎡,塔楼,东,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43628,商品房,40424,普通住宅,满五年,非共有,已上传房本照片,51810,2008,塔楼/塔板结合,8,29
1445,东城,广渠门,远洋德邑,868.0,79603.8,3室1厅1卫,中楼层,109.04,平层,88.4㎡,板塔结合,西南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43796,商品房,39499,普通住宅,满五年,非共有,已上传房本照片,80739,2002,塔楼/塔板结合,3,13
1446,顺义,马坡,中铁花溪渡,490.0,36759.2,3室1厅2卫,高楼层,133.3,平层,105.61㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43864,商品房,42480,普通住宅,满两年,非共有,已上传房本照片,40928,2012,板楼,24,8
1447,海淀,定慧寺,定慧福里,410.0,62310.0,1室1厅1卫,中楼层,65.8,平层,50.37㎡,板塔结合,西,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43028,商品房,42741,普通住宅,满两年,非共有,已上传房本照片,75461,2009,塔板结合,4,18
1448,石景山,苹果园,苹果园小区一区,269.0,47915.9,2室1厅1卫,低楼层,56.14,平层,无信息,板塔结合,南北,钢混结构,毛坯,10列无数据,11列无数据,70年,13列无数据,43762,已购公房,43543,普通住宅,暂无数据,共有,已上传房本照片,47685,1972,塔楼/板楼/塔板结合,28,14
1449,大兴,大兴其它,佟馨家园,255.0,32047.3,2室1厅1卫,中楼层,79.57,平层,无信息,板塔结合,南北,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43811,商品房,43762,普通住宅,暂无数据,非共有,已上传房本照片,31754,2014,板楼/塔板结合,35,17
1450,大兴,旧宫,旧宫北里,270.0,31690.1,2室1厅1卫,地下室,85.2,平层,74.49㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43356,商品房,38553,普通住宅,满五年,非共有,已上传房本照片,37875,1998,板楼,4,9
1451,通州,通州其它,富力尚悦居,435.0,32212.7,3室1厅1卫,中楼层,135.04,平层,102.5㎡,板楼,南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43764,商品房,42844,普通住宅,满两年,非共有,已上传房本照片,34334,2013,塔楼/板楼/塔板结合,27,20
1452,门头沟,滨河西区,临镜苑,421.0,38923.8,3室2厅1卫,低楼层,108.16,平层,87.63㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43742,商品房,40083,普通住宅,满五年,非共有,已上传房本照片,38713,1996,板楼/塔板结合,12,18
1453,朝阳,十里堡,八里庄南里,379.0,53500.8,3室1厅1卫,高楼层,70.84,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43749,已购公房,36677,普通住宅,满五年,非共有,已上传房本照片,56199,1985,塔楼/板楼,22,6
1454,石景山,鲁谷,重兴园,315.0,49473.8,1室1厅1卫,中楼层,63.67,平层,57.88㎡,板楼,南,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43794,商品房,42971,普通住宅,满两年,非共有,已上传房本照片,47749,2002,塔楼/板楼,10,6
1455,朝阳,双桥,双惠小区,288.0,48896.4,1室1厅1卫,低楼层,58.9,平层,52.35㎡,板楼,东西,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43663,商品房,41239,普通住宅,满五年,非共有,已上传房本照片,46652,2002,板楼,29,6
1456,通州,万达,世图印刷厂家属院,305.0,42729.1,3室1厅1卫,中楼层,71.38,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43883,已购公房,40480,普通住宅,满五年,非共有,已上传房本照片,42443,1987,板楼,3,6
1457,顺义,顺义城,石园东区,212.0,35841.1,1室1厅1卫,高楼层,59.15,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43796,商品房,41995,普通住宅,满五年,非共有,已上传房本照片,36284,1994,板楼,32,6
1458,朝阳,北工大,潘道庙,330.0,50251.3,2室1厅1卫,高楼层,65.67,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43235,已购公房,37777,普通住宅,满五年,非共有,已上传房本照片,57579,1977,板楼,8,6
1459,丰台,马家堡,富卓苑,370.0,47097.8,2室2厅1卫,高楼层,78.56,平层,67.36㎡,板楼,东西,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,42950,商品房,40281,普通住宅,满五年,共有,已上传房本照片,56963,2000,塔楼/板楼,14,6
1460,朝阳,北苑,世华泊郡,950.0,72458.2,4室2厅2卫,中楼层,131.11,平层,104.9㎡,板塔结合,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43552,商品房,41507,普通住宅,满五年,非共有,已上传房本照片,69142,2012,板楼/塔板结合,16,27
1461,昌平,鼓楼大街,五街满井胡同,345.0,28699.8,3室2厅1卫,低楼层,120.21,平层,无信息,南北,南北,混合结构,简装,未知,11列无数据,12列无数据,13列无数据,43723,已购公房,42999,普通住宅,满两年,非共有,已上传房本照片,36812,1989,板楼,3,6
1462,昌平,昌平其它,静之湖度假山庄,210.0,27393.7,2室1厅1卫,低楼层,76.66,南北,㎡,其他,南北,砖混结构,其他,10列无数据,11列无数据,12列无数据,13列无数据,43664,商品房,42088,别墅,满两年,非共有,已上传房本照片,33920,1999,板楼,32,2
1463,朝阳,常营,北京新天地三期,405.0,54596.9,2室1厅1卫,高楼层,74.18,平层,无信息,板塔结合,南,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43815,商品房,42228,普通住宅,满两年,共有,已上传房本照片,52537,2008,塔板结合,5,28
1464,东城,永定门,悠胜美苑,565.0,66283.4,2室1厅1卫,低楼层,85.24,平层,65.44㎡,板塔结合,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43702,二类经济适用房,41581,普通住宅,满五年,非共有,已上传房本照片,68683,2001,塔楼/板楼/塔板结合,8,12
1465,丰台,六里桥,莲怡园北路1号院,345.0,58012.4,2室1厅1卫,低楼层,59.47,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43783,已购公房,41351,普通住宅,满五年,非共有,已上传房本照片,57602,1995,板楼,8,6
1466,通州,潞苑,珠江拉维小镇,400.0,39335.2,2室1厅1卫,高楼层,101.69,平层,无信息,板塔结合,南,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43612,商品房,41758,普通住宅,满五年,非共有,已上传房本照片,42140,2010,塔楼/板楼/塔板结合,38,10
1467,东城,朝阳门内,朝阳门内大街,560.0,88202.9,2室1厅1卫,中楼层,63.49,平层,无信息,板楼,北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43664,商品房,40121,普通住宅,满五年,非共有,已上传房本照片,90303,1960,板楼/平房,13,5
1468,西城,牛街,益民巷,539.0,64869.4,2室1厅1卫,中楼层,83.09,平层,无信息,板楼,东西,混合结构,其他,10列无数据,70年,12列无数据,13列无数据,43614,已购公房,37164,普通住宅,满五年,非共有,已上传房本照片,68704,1950,板楼,4,6
1469,大兴,旧宫,美宅湾,265.0,36336.2,2室1厅1卫,高楼层,72.93,平层,无信息,板塔结合,西南,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43770,商品房,41653,普通住宅,满五年,非共有,已上传房本照片,37930,2006,板楼/塔板结合,4,15
1470,朝阳,望京,中环南路3号院,451.5,61378.5,3室1厅1卫,高楼层,73.56,平层,52.33㎡,板楼,南北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43618,商品房,41213,普通住宅,满五年,非共有,已上传房本照片,70133,1989,板楼,7,6
1471,房山,长阳,西悦欣居,289.0,32442.7,2室1厅1卫,高楼层,89.08,平层,70.29㎡,板塔结合,东西,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43660,限价商品房,41746,普通住宅,满五年,共有,已上传房本照片,34431,2012,塔板结合,8,21
1472,大兴,天宫院,金融街融汇,428.0,41276.9,3室1厅1卫,低楼层,103.69,平层,79.06㎡,板楼,南西北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43550,商品房,41900,普通住宅,满五年,非共有,已上传房本照片,42634,2014,塔楼/板楼/塔板结合/平房,17,26
1473,朝阳,望京,方舟苑二期,570.0,60209.1,2室1厅1卫,低楼层,94.67,平层,无信息,塔楼,南,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43518,商品房,37587,普通住宅,满五年,非共有,已上传房本照片,62125,2001,塔楼,4,24
1474,昌平,沙河,北街家园七区,350.0,39079.9,3室1厅2卫,高楼层,89.56,平层,72.98㎡,板楼,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43792,商品房,43084,普通住宅,满两年,非共有,已上传房本照片,39399,2010,板楼,5,18
1475,丰台,青塔,建邦枫景,410.0,45169.1,3室1厅1卫,高楼层,90.77,平层,70.88㎡,板塔结合,东西,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43765,限价商品房,41227,普通住宅,满五年,非共有,已上传房本照片,52321,2010,板楼/塔板结合,11,22
1476,朝阳,红庙,机械学院家属楼,400.0,47602.0,3室1厅1卫,高楼层,84.03,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43719,已购公房,43616,普通住宅,暂无数据,非共有,已上传房本照片,60692,1954,板楼,11,4
1477,丰台,岳各庄,大成郡,840.0,76412.3,3室2厅2卫,中楼层,109.93,平层,88.31㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43537,商品房,40770,普通住宅,满五年,非共有,已上传房本照片,75029,2000,板楼/塔板结合,48,7
1478,顺义,马坡,新马家园,266.0,33051.7,2室2厅1卫,中楼层,80.48,平层,60.63㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43814,商品房,41684,普通住宅,满五年,非共有,已上传房本照片,32875,2013,板楼/塔板结合,5,27
1479,门头沟,滨河西区,新桥南大街,190.0,31467.4,2室1厅1卫,高楼层,60.38,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43802,商品房,41340,普通住宅,满五年,共有,已上传房本照片,33407,1980,板楼,17,6
1480,顺义,顺义城,石园北区,365.0,36898.5,3室1厅2卫,低楼层,98.92,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43679,已购公房,36375,普通住宅,满五年,非共有,已上传房本照片,34244,1996,塔楼/板楼,79,6
1481,亦庄开发区,亦庄,贵园南里丙区,251.0,41917.2,1室1厅1卫,高楼层,59.88,平层,52.97㎡,板楼,南北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43524,商品房,42454,普通住宅,满两年,非共有,已上传房本照片,44175,2001,板楼,18,6
1482,大兴,瀛海,瀛海家园逸园A区,265.0,31854.8,2室1厅1卫,高楼层,83.19,平层,64.38㎡,板楼,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43618,商品房,43199,普通住宅,暂无数据,非共有,已上传房本照片,33003,2006,板楼,19,15
1483,朝阳,双桥,水郡长安,650.0,43298.7,3室1厅2卫,低楼层,150.12,平层,120.55㎡,板塔结合,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43760,商品房,40110,普通住宅,满五年,共有,已上传房本照片,45597,2006,塔楼/板楼/塔板结合,49,19
1484,朝阳,首都机场,南平里,215.0,34560.4,2室1厅1卫,高楼层,62.21,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43757,已购公房,39079,普通住宅,满五年,非共有,已上传房本照片,37444,1980,板楼,58,6
1485,通州,马驹桥,融科香雪兰溪,220.0,26944.3,2室1厅1卫,中楼层,81.65,平层,63.15㎡,板楼,南,钢混结构,其他,10列无数据,11列无数据,12列无数据,70年,43440,限价商品房,41371,普通住宅,满五年,非共有,已上传房本照片,34619,2009,板楼,23,20
1486,海淀,西三旗,黄平路8号院,285.0,49376.3,2室1厅1卫,高楼层,57.72,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43768,已购公房,41796,普通住宅,满五年,非共有,已上传房本照片,49625,1982,板楼,4,6
1487,昌平,北七家,望都新地,338.0,37677.0,2室1厅1卫,高楼层,89.71,平层,80.23㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43766,商品房,40365,普通住宅,满五年,非共有,已上传房本照片,39316,2008,板楼,27,6
1488,朝阳,CBD,建外SOHO,725.0,48320.4,2室1厅2卫,高楼层,150.04,平层,114.25㎡,塔楼,西南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43675,商品房,38727,普通住宅,满五年,非共有,已上传房本照片,49165,2000,塔楼,26,28
1489,亦庄开发区,亦庄开发区其它,泰河园三里,345.0,35971.2,2室1厅1卫,高楼层,95.91,平层,83.02㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43771,商品房,40270,普通住宅,满五年,非共有,已上传房本照片,40430,2004,板楼,27,6
1490,海淀,马甸,月季园,485.0,82483.0,2室1厅1卫,高楼层,58.8,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43808,已购公房,40172,普通住宅,满五年,非共有,已上传房本照片,82882,1994,塔楼/板楼/塔板结合,12,7
1491,石景山,苹果园,西黄新村北里,385.0,41433.5,2室1厅1卫,高楼层,92.92,平层,78.34㎡,塔楼,南西北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43625,一类经济适用房,38700,普通住宅,满五年,非共有,已上传房本照片,43672,1998,塔楼/板楼/塔板结合,12,23
1492,朝阳,朝阳公园,南十里居,290.0,51999.3,1室1厅1卫,高楼层,55.77,平层,43.94㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43666,已购公房,36871,普通住宅,满五年,非共有,已上传房本照片,56077,1985,板楼,33,6
1493,昌平,回龙观,金域华府二期,528.0,66356.7,2室1厅1卫,低楼层,79.57,平层,62.61㎡,板楼,南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43757,商品房,42514,普通住宅,满两年,非共有,已上传房本照片,67058,2014,板楼,7,28
1494,丰台,七里庄,望园西里,366.0,61543.6,2室1厅1卫,高楼层,59.47,平层,无信息,板楼,东西,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43769,已购公房,40519,普通住宅,满五年,非共有,已上传房本照片,61298,1990,板楼,22,6
1495,顺义,顺义城,东兴一区,304.0,37387.8,2室2厅1卫,低楼层,81.31,平层,无信息,板楼,东南,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43761,商品房,41214,普通住宅,满五年,非共有,已上传房本照片,36674,1993,板楼,41,6
1496,朝阳,常营,富力阳光美园,440.0,49605.4,2室1厅1卫,低楼层,88.7,平层,67.86㎡,板塔结合,南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43717,限价商品房,40991,普通住宅,满五年,非共有,已上传房本照片,52037,2010,塔楼/板楼/塔板结合,17,20
1497,朝阳,北苑,领地OFFICE,299.0,42471.6,1室1厅1卫,中楼层,70.4,平层,57.64㎡,板楼,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43537,商品房,39019,普通住宅,满五年,非共有,已上传房本照片,46196,2005,塔楼/板楼,3,14
1498,昌平,回龙观,领秀慧谷C区,460.0,53216.1,2室2厅1卫,低楼层,86.44,平层,72.44㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43723,商品房,42450,普通住宅,满两年,非共有,已上传房本照片,58218,2011,板楼/平房,22,11
1499,朝阳,管庄,建东苑,419.0,41762.2,3室2厅1卫,高楼层,100.33,平层,88.36㎡,板楼,南西北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43712,商品房,40298,普通住宅,满五年,非共有,已上传房本照片,45295,1999,板楼,28,6
1500,石景山,苹果园,广宁村,210.0,35122.9,2室1厅1卫,高楼层,59.79,平层,40.16㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43683,已购公房,36900,普通住宅,满五年,非共有,已上传房本照片,36620,1979,塔楼/板楼,20,6
1501,大兴,旧宫,明悦湾,320.0,41808.2,2室1厅1卫,高楼层,76.54,平层,无信息,板塔结合,南北,钢混结构,其他,10列无数据,11列无数据,70年,13列无数据,43755,商品房,41832,普通住宅,满五年,非共有,已上传房本照片,38022,2010,塔板结合/平房,9,19
1502,海淀,田村,田村路19号院,375.0,60367.0,2室1厅1卫,高楼层,62.12,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43750,商品房,42230,普通住宅,满两年,共有,已上传房本照片,60669,1986,板楼,5,6
1503,房山,长阳,碧波园,270.0,28219.1,2室1厅1卫,高楼层,95.68,平层,82.88㎡,板楼,南北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43519,商品房,40158,普通住宅,满五年,非共有,已上传房本照片,26415,2002,塔楼/板楼,22,6
1504,石景山,苹果园,雍景四季,375.0,57286.9,1室1厅1卫,中楼层,65.46,平层,52.84㎡,板塔结合,东北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43820,商品房,41425,普通住宅,满五年,非共有,已上传房本照片,54643,2009,塔楼/塔板结合,13,16
1505,丰台,宋家庄,日新家园,345.0,40242.6,2室2厅1卫,中楼层,85.73,平层,62.58㎡,塔楼,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43558,商品房,40701,普通住宅,满五年,非共有,已上传房本照片,44472,1997,塔楼/板楼,4,14
1506,大兴,黄村火车站,车站中里,310.0,36444.9,3室1厅1卫,低楼层,85.06,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43774,商品房,37984,普通住宅,满五年,非共有,已上传房本照片,36219,1988,塔楼/板楼,36,6
1507,海淀,万柳,光大花园,1900.0,106910.0,4室2厅3卫,中楼层,177.72,平层,无信息,塔楼,东南,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43717,商品房,43346,普通住宅,暂无数据,非共有,已上传房本照片,106814,2000,塔楼,9,17
1508,西城,马连道,瑞莲家园,740.0,63953.0,3室1厅1卫,高楼层,115.71,平层,94.61㎡,塔楼,西北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43623,一类经济适用房,41540,普通住宅,满五年,非共有,已上传房本照片,75005,2001,塔楼/板楼,2,24
1509,东城,陶然亭,车站路6号院,395.0,68899.4,2室1厅1卫,高楼层,57.33,平层,40.8㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43721,已购公房,37477,普通住宅,满五年,非共有,已上传房本照片,63050,1980,板楼/平房,5,6
1510,朝阳,石佛营,炫特嘉园二期,513.0,58481.5,2室1厅1卫,低楼层,87.72,平层,65.28㎡,塔楼,东南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43674,商品房,38938,普通住宅,满五年,非共有,已上传房本照片,61614,2004,塔楼/板楼,4,24
1511,昌平,天通苑,天通西苑二区,355.0,36567.8,2室1厅1卫,低楼层,97.08,平层,77.27㎡,塔楼,西,混合结构,精装,10列无数据,11列无数据,12列无数据,70年,43813,商品房,42665,普通住宅,满两年,共有,已上传房本照片,35354,2000,塔楼/板楼/塔板结合,22,32
1512,昌平,天通苑,天通苑北一区,378.0,37102.5,2室2厅1卫,低楼层,101.88,平层,87.55㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43593,商品房,43458,普通住宅,暂无数据,非共有,已上传房本照片,37386,2003,塔楼/板楼/塔板结合,47,12
1513,房山,长阳,碧波园,305.0,25254.6,3室1厅2卫,高楼层,120.77,平层,108.81㎡,板楼,南北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43699,商品房,40693,普通住宅,满五年,非共有,已上传房本照片,26415,2002,塔楼/板楼,22,6
1514,大兴,高米店南,康盛园,330.0,35087.7,3室1厅1卫,高楼层,94.05,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43727,商品房,43701,普通住宅,暂无数据,非共有,已上传房本照片,39960,1996,板楼/塔板结合,34,6
1515,昌平,北七家,温泉花园B区,260.0,29806.3,2室1厅1卫,高楼层,87.23,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43233,商品房,39933,普通住宅,满五年,非共有,已上传房本照片,31330,1995,板楼,54,6
1516,朝阳,燕莎,嘉和丽园,643.5,59467.7,2室1厅1卫,高楼层,108.21,平层,83.06㎡,塔楼,东南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43526,私产,39933,普通住宅,满五年,共有,已上传房本照片,60293,2001,塔楼,3,28
1517,大兴,天宫院南,隆盛园,190.0,24519.3,2室1厅1卫,高楼层,77.49,平层,70.11㎡,板楼,南西,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43594,商品房,39954,普通住宅,满五年,非共有,已上传房本照片,23263,1998,板楼,19,6
1518,门头沟,冯村,润西山苑,760.0,43312.2,4室2厅3卫,中楼层,175.47,平层,138.72㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43444,商品房,43041,普通住宅,满两年,非共有,已上传房本照片,45105,2012,板楼,8,10
1519,顺义,顺义城,望泉家园,295.0,31160.9,3室1厅1卫,高楼层,94.67,平层,82.25㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43511,商品房,38345,普通住宅,满五年,非共有,已上传房本照片,34240,2002,板楼,4,6
